Timestamp,+10V,+12V,+5V,ACTUATOR_INJ,ACTUATOR_VENT,ARMING,CHARGING,GPS,GSPD +12V,GSPD +24V Current,GSPD +5V Current,GSPD Temperature,GSPD Total Current,Honeywell S-type - Ox Tank,LOGGER,PT-1 Ox Supply,PT-2 Ox Fill IFM,PT-2 Ox Tank,PT-3 Injector Fuel,PT-4 Injector Oxidizer,PT-6 Pneumatics,Power in,SENSOR_INJ,SENSOR_VENT,TELEMETRY,Thermocouple 1,Thermocouple 2,Thermocouple 3,Thermocouple 4,Thermocouple 5,Thermocouple 6,ij,ij hall,ox tank,pneumatics for real,vent temp for real,vv
2250.292238712311,19.469239,12.079937,4.950413,0.000000,0.000000,0.000000,0.000000,0.000000,11.564130,0.073133,-0.057162,2.336381,1.268860,23.336410,0.000000,731.828729,805.534995,805.124900,3.452191,27.671903,-17.657518,23.958532,0.000000,0.000000,0.000000,529.598885,513.155862,534.850724,489.205645,-55.546473,-56.834438,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2250.31294465065,19.460509,12.088667,4.961806,0.000000,0.000000,0.000000,0.000000,0.000000,11.566006,0.070540,-0.048482,2.338025,1.267833,23.407585,0.000000,731.008698,805.443778,799.588963,-2.587010,17.543660,-17.669437,23.953156,0.000000,0.000000,0.000000,529.614677,513.151913,534.941529,489.280659,-57.429818,-55.983895,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2250.3338668346405,19.470472,12.090442,4.963582,0.000000,0.000000,0.000000,0.000000,0.000000,11.569756,0.070992,-0.049090,2.335444,1.301740,23.510858,0.000000,731.933617,797.796732,800.752768,-6.676052,-3.404818,-18.007342,23.949259,0.000000,0.000000,0.000000,529.549534,513.145991,534.913893,489.278685,-53.502132,-53.268233,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2250.354596376419,19.467316,12.082896,4.961411,0.000000,0.000000,0.000000,0.000000,0.000000,11.563505,0.074420,-0.048416,2.333339,1.291260,23.448057,0.000000,730.789388,795.227447,819.971278,-9.349656,-17.055928,-18.183147,23.946892,0.000000,0.000000,0.000000,529.628495,513.084796,534.880334,489.247100,-58.793724,-55.765184,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2250.375547885895,19.466231,12.088864,4.966738,0.000000,0.000000,0.000000,0.000000,0.000000,11.551628,0.074132,-0.049781,2.330561,1.288280,23.530397,0.000000,730.160062,794.345680,800.532589,6.597608,-7.714040,-18.105674,23.956263,0.000000,0.000000,0.000000,529.519923,513.151913,534.809269,489.276711,-59.103565,-51.269457,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2250.395566225052,19.469831,12.085855,4.959981,0.000000,0.000000,0.000000,0.000000,0.000000,11.576007,0.065624,-0.056373,2.341313,1.280368,23.128468,0.000000,730.169597,809.989436,807.075060,-0.196492,19.588181,-17.614014,23.946201,0.000000,0.000000,0.000000,529.590989,513.132173,534.898101,489.229334,-55.023997,-57.523985,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2250.415714740753,19.465639,12.088371,4.978476,0.000000,0.000000,0.000000,0.000000,0.000000,11.572882,0.081095,-0.051014,2.347330,1.275744,23.367113,0.000000,733.239945,803.193752,816.637135,-15.923578,-10.293281,-17.938211,23.955869,0.000000,0.000000,0.000000,529.620599,513.122303,534.880334,489.241178,-55.907954,-53.256082,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2250.43777179718,19.465047,12.088864,4.976454,0.000000,0.000000,0.000000,0.000000,0.000000,11.541627,0.073039,-0.052033,2.335657,1.328558,23.661582,0.000000,732.152927,799.605874,795.279739,-10.198919,-5.386431,-18.028796,23.946349,0.000000,0.000000,0.000000,529.600859,513.051237,534.854672,489.318166,-60.543413,-54.127889,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2250.4594209194183,19.451434,12.100750,4.971226,0.000000,0.000000,0.000000,0.000000,0.000000,11.521623,0.073039,-0.063097,2.315304,1.429562,23.234533,0.000000,730.369837,800.457235,805.250717,-4.914618,-0.511035,-17.977544,23.936288,0.000000,0.000000,0.000000,529.559404,513.110459,534.955348,489.247100,-52.238468,-51.776745,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2250.4795138835907,19.450497,12.089160,4.963631,0.000000,0.000000,0.000000,0.000000,0.000000,11.531625,0.070433,-0.057393,2.326089,1.409525,23.402003,0.000000,730.312625,806.629601,801.948027,-12.306349,3.137650,-17.862525,23.936978,0.000000,0.000000,0.000000,529.589015,513.108485,534.900075,489.219464,-56.239058,-55.555586,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2250.5014169216156,19.462088,12.088469,4.969845,0.000000,0.000000,0.000000,0.000000,0.000000,11.537251,0.074975,-0.055897,2.324511,1.355170,23.678329,0.000000,729.168397,797.690312,807.043606,6.786334,-8.060035,-18.125340,23.943933,0.000000,0.000000,0.000000,529.514001,513.096640,534.878360,489.322114,-56.889116,-54.489370,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2250.511241912842,19.463025,12.087779,4.967429,0.000000,0.000000,0.000000,0.000000,0.000000,11.549753,0.067860,-0.056604,2.332287,1.302254,23.184292,0.000000,731.990828,796.747734,807.924323,-2.681372,-16.709933,-18.240359,23.947089,0.000000,0.000000,0.000000,529.539664,513.126251,534.979036,489.217490,-55.850238,-51.494243,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2250.5320148468018,19.469437,12.074610,4.963730,0.000000,0.000000,0.000000,0.000000,0.000000,11.566631,0.069340,-0.055782,2.344486,1.244919,23.576451,0.000000,727.652293,795.257852,802.168207,3.766733,-13.658878,-18.158713,23.953994,0.000000,0.000000,0.000000,529.602833,513.179550,534.917841,489.213541,-56.937718,-50.710528,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2250.5530729293823,19.462285,12.087927,4.970980,0.000000,0.000000,0.000000,0.000000,0.000000,11.559755,0.071559,-0.051869,2.335624,1.275847,23.632274,0.000000,731.599883,795.288258,811.258467,-5.606610,-6.015514,-18.016877,23.947582,0.000000,0.000000,0.000000,529.553482,513.161784,534.870464,489.179983,-58.547675,-58.003935,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
