Timestamp,Omega S-Type - Ox Tank Mass,PT-2 Ox Tank,PT-3 CC,Thrust,dP
1.986592,45.058757,804.37062,-9.328475,-4.623767,813.699095
2.001825,44.643772,783.30497,5.401729,-7.125432,777.903241
2.032562,44.60496,798.208131,1.267212,-5.993292,796.940919
2.048218,44.859724,776.733748,9.473366,-7.289775,767.260382
2.063214,44.764187,782.393175,-4.297882,-6.121114,786.691057
2.093239,44.321337,778.29009,-3.197439,-5.116796,781.487529
2.109477,44.883608,798.475382,-21.511941,-5.737647,819.987323
2.125197,44.529328,803.301615,-4.879544,-6.194155,808.181159
2.14179,44.695521,793.523384,1.4873,-8.878423,792.036084
2.17167,44.674622,783.462179,6.565054,-7.253254,776.897125
2.186957,44.709453,782.04732,-2.600057,-8.221051,784.647377
2.202696,44.771154,792.360057,-8.66821,-7.289775,801.028267
2.23358,44.622873,803.993323,11.517044,-10.795757,792.476279
2.249404,44.743289,780.695346,6.109156,-5.88373,774.58619
2.263654,44.580081,791.416819,8.01135,-6.011552,783.405469
2.295164,44.709453,799.937401,-11.262109,-6.869787,811.19951
2.310889,44.694526,770.995718,15.132783,-7.070651,755.862935
2.325839,44.701492,784.263931,3.153684,-6.833267,781.110247
2.341421,44.684574,778.321532,-8.715371,-8.202791,787.036903
2.371342,44.619888,761.909193,-1.593938,-10.941839,763.503131
2.386401,44.553212,786.952159,-6.467325,-9.407972,793.419484
2.401689,44.694526,801.226493,-11.843771,-9.481013,813.070264
2.432636,44.464642,806.524346,-21.559104,-5.719387,828.08345
2.448036,44.949289,788.319855,-8.746811,-8.641039,797.066666
2.463069,44.486535,783.855195,1.911756,-7.161952,781.943439
2.49451,44.672632,787.769631,1.581623,-6.102854,786.188008
2.510099,44.5761,801.462303,8.372924,-7.545419,793.089379
2.525263,44.590033,783.006281,2.54058,-10.832277,780.465701
2.540771,44.811955,785.615904,-2.615778,-8.458435,788.231682
2.57128,44.800013,793.098924,7.366805,-6.668924,785.732119
2.586975,44.774139,775.444656,4.772905,-8.641039,770.671751
2.602596,44.948294,815.34362,-19.326778,-8.860162,834.670398
2.634019,44.685569,786.087525,0.103887,-8.586258,785.983638
2.649297,43.885453,780.223728,2.854992,-5.628085,777.368736
2.665099,32.379316,785.568742,-1.295246,60.876017,786.863988
2.679757,32.021056,785.049964,42.250825,152.962838,742.799139
2.710588,52.481721,789.970518,69.871926,168.009347,720.098592
2.726939,50.816804,774.234166,135.222484,275.81832,639.011682
2.741639,34.002436,781.009759,181.268143,427.23297,599.741616
2.773419,41.095996,763.324048,228.775822,521.638885,534.548226
2.788873,55.65631,739.098558,285.432903,583.121427,453.665655
2.80359,45.826033,752.020916,339.181679,777.502712,412.839237
2.833744,35.944009,741.928272,370.95304,850.580593,370.975232
2.849717,46.178322,751.329208,370.842994,818.825856,380.486214
2.86548,51.980156,737.400731,389.36188,807.70531,348.038851
2.880344,41.224373,752.335328,374.285808,826.129993,378.04952
2.911743,38.75536,749.427012,376.832548,836.574907,372.594464
2.92795,49.818649,731.819906,399.234427,881.696218,332.585479
2.943453,47.851201,734.539577,393.260592,821.217967,341.278985
2.975019,39.081775,744.852308,422.343732,897.783586,322.508576
2.991149,43.285367,735.781506,361.049053,762.857917,374.732453
3.005816,49.236475,730.90811,335.015714,700.79103,395.892396
3.021338,43.775985,723.739503,345.328436,727.067654,378.411067
3.052173,41.097986,733.297647,330.142326,773.06545,403.155321
3.067865,46.836128,721.538617,353.676085,815.301621,367.862532
3.083805,45.811105,722.324647,340.643695,775.220168,381.680952
3.113858,41.347774,709.575218,354.116261,777.228816,355.458957
3.129273,43.691396,698.885192,357.716281,683.352408,341.168911
3.144901,46.04895,723.157841,315.632198,697.905895,407.525643
3.159947,43.48042,721.507174,313.242666,706.396953,408.264508
3.193708,42.729068,706.855549,342.357241,741.840269,364.498308
3.206586,45.470757,703.758585,305.288036,693.176469,398.470549
3.22195,44.972178,695.583859,329.324852,755.188584,366.259007
3.252561,42.488237,694.0904,309.108147,705.100468,384.982253
3.267741,44.261627,687.409132,322.156254,734.006596,365.252878
3.28359,45.100554,700.881711,302.505487,654.829765,398.376224
3.314566,43.416729,699.62406,284.631152,672.524031,414.992908
3.329457,42.916159,704.717542,327.485543,800.949026,377.231999
3.345121,44.389009,693.147161,280.763882,681.489862,412.383279
3.360479,43.495347,679.187245,280.842485,600.76091,398.34476
3.392378,42.464353,662.208968,309.847014,711.016826,352.361954
3.407679,43.624719,700.048516,285.8888,713.974995,414.159716
3.421984,43.959096,690.993436,298.905467,660.289606,392.087969
3.452223,43.100265,665.54174,333.648023,755.900753,331.893717
3.468335,42.698217,693.571619,294.377931,715.198437,399.193688
3.483936,42.958952,698.209205,283.656474,669.730197,414.552731
3.499941,42.874362,695.442372,277.902731,719.507891,417.539641
3.530383,43.940188,685.554099,304.313361,744.999319,381.240738
3.546759,42.166797,698.397853,278.185701,639.162397,420.212152
3.561822,42.464353,687.016116,283.043372,702.32491,403.972744
3.592655,44.039705,695.913992,288.624188,723.105172,407.289804
3.607586,42.724092,704.041557,292.349973,803.268068,411.691584
3.622871,41.833416,697.313128,276.362111,599.172265,420.951017
3.653871,44.078516,718.928993,248.662395,621.011623,470.266598
3.669737,43.77499,717.828548,257.544539,688.611387,460.284009
3.685568,41.09102,699.419693,315.789407,806.335825,383.630286
3.701328,42.830575,711.650342,310.805972,824.504844,400.84437
3.731703,44.702487,718.881829,301.074911,776.644482,417.806918
3.747172,41.59159,698.209204,265.970788,694.034704,432.238416
3.762115,40.900943,713.646861,282.556032,699.129345,431.090829
3.793726,44.278545,710.439853,301.012032,787.637245,409.427821
3.809571,43.4227,700.410091,300.037353,769.121241,400.372738
3.824932,40.567562,717.482694,249.762837,652.894168,467.719857
3.84082,42.30015,711.021516,301.609416,749.126164,409.4121
3.871001,44.292477,706.776946,269.775174,696.645935,437.001772
3.886968,41.845358,707.798786,282.870444,730.482351,424.928342
3.903045,41.369667,685.349731,277.808407,611.406685,407.541324
3.933692,43.658555,714.291406,279.113218,763.077053,435.178188
3.949837,41.820479,712.687903,305.225156,774.142829,407.462747
3.965078,41.937909,695.772508,290.667868,709.647295,405.10464
3.980039,43.289347,699.026677,298.339528,710.395976,400.687149
4.011281,42.190681,701.636301,297.726422,739.575998,403.909879
4.027207,40.840238,710.424133,276.503596,685.634956,433.920537
4.043257,42.937058,725.594539,250.10869,645.425692,475.485849
4.073549,43.103251,714.605819,277.446835,700.352784,437.158984
4.088606,40.905919,733.061838,252.325296,678.056912,480.736542
4.103831,41.08704,711.508854,255.941039,692.73823,455.567815
4.134445,44.045676,715.14032,248.379423,654.665421,466.760897
4.149625,42.56586,702.815349,291.595383,764.903089,411.219966
4.165652,39.656982,700.079958,289.991883,757.379827,410.088075
4.181087,43.222671,696.65286,313.101182,759.114561,383.551678
4.212386,43.45355,713.646862,287.020686,766.674353,426.626176
4.227322,41.184566,729.760506,301.609415,750.495697,428.151091
4.242646,40.595426,699.35681,271.661648,686.584493,427.695162
4.274481,43.275415,728.487134,276.000536,757.708507,452.486598
4.289655,42.686275,724.667021,272.180428,741.109857,452.486593
4.304968,40.785503,720.815468,269.649411,693.395601,451.166057
4.320204,41.669213,724.069638,251.963722,671.154505,472.105916
4.350818,42.746981,709.292246,257.245848,644.001385,452.046398
4.366343,41.249252,710.188321,272.71493,779.383535,437.473391
4.38224,40.887011,705.314928,264.131475,669.803243,441.183453
4.413475,42.731058,701.762066,255.925316,617.103911,445.83675
4.42943,41.311948,696.904392,274.617125,740.032496,422.287267
4.443779,40.14362,708.537656,308.337836,811.247827,400.19982
4.47602,41.761764,730.342168,263.911386,660.326125,466.430782
4.49241,42.235464,732.543057,261.286048,699.677155,471.257009
4.50576,40.652151,719.589257,266.473846,672.542294,453.115411
4.521869,41.1776,706.556858,281.612796,746.971432,424.944062
4.55442,41.863271,719.259126,272.919299,759.023249,446.339827
4.568279,41.56074,705.047676,335.031437,854.926591,370.016239
4.583535,40.598412,720.375291,275.57608,733.842242,444.799211
4.615475,41.145754,709.685264,308.620808,810.188738,401.064456
4.630761,41.804556,694.60918,299.597177,679.116017,395.012003
4.645721,41.731909,706.242445,265.986508,663.777331,440.255937
4.66172,40.149591,710.754267,293.088842,740.251619,417.665425
4.692611,40.303842,721.601498,312.943977,820.250207,408.657521
4.708188,41.41246,711.760385,276.157743,716.476661,435.602642
4.724741,41.596566,702.390892,283.514989,761.177968,418.875903
4.754177,39.215128,699.655503,313.321269,843.23996,386.334234
4.769482,40.733755,708.003156,305.696773,872.365201,402.306383
4.784693,42.064295,723.362209,284.348182,697.303322,439.014027
4.800568,40.699919,698.445013,262.134957,635.382512,436.310056
4.83185,39.73162,708.899232,263.235401,648.822115,445.663831
4.847059,40.747687,703.302687,275.481758,822.788398,427.820929
4.862816,41.73987,715.659102,285.747317,758.110283,429.911785
4.894028,39.72963,715.627661,284.442506,809.257459,431.185155
4.909868,39.934634,721.428572,302.646974,866.887108,418.781598
4.925877,40.88502,725.453054,304.3448,890.150814,421.108254
4.940101,40.855165,698.036277,328.821793,806.792318,369.214484
4.970613,40.630257,691.795187,315.789406,789.061544,376.005781
4.986218,39.43904,702.37517,304.344801,826.130023,398.030369
5.000858,40.485958,698.680821,323.429624,919.769067,375.251197
5.031846,40.748682,684.956714,328.004323,868.585309,356.952391
5.048755,39.940605,695.63102,308.495042,856.49697,387.135978
5.062881,39.806258,702.076478,315.459273,836.392332,386.617205
5.094011,39.867958,715.64338,325.441863,888.562109,390.201517
5.109641,40.924827,716.272206,336.131878,897.254035,380.140328
5.124849,40.17447,690.694745,340.172076,865.024533,350.522669
5.140441,39.619166,705.707943,328.240133,927.858399,377.46781
5.17083,39.912741,701.038918,359.272623,820.615387,341.766295
5.187046,39.998325,699.796986,309.752692,787.965911,390.044294
5.202861,39.893832,701.463375,303.244356,791.417122,398.219019
5.233686,39.655987,693.665943,326.919601,859.290795,366.746342
5.24987,40.209301,707.547257,319.342264,933.68344,388.204993
5.265319,39.904779,692.14104,325.3947,884.873545,366.74634
5.281424,39.510693,695.112241,327.42266,859.747299,367.689581
5.312286,39.524625,692.109599,331.148444,846.928541,360.961155
5.327386,40.472025,702.799627,325.363259,863.87414,377.436368
5.343355,40.247117,701.211843,311.890693,890.114257,389.32115
5.375238,39.205176,707.154243,339.087356,913.597048,368.066887
